Variable Name,Variable Label (CHN),Variable Label (ENG),Value Label (CHN),Value Label (ENG),
industry,当前职业所在行业,Current Occupation Industry,"1 ""农、林、牧、渔业""
2 ""采矿业""
3 ""制造业""
4 ""电力、燃气及水的生产和供应业""
5 ""建筑业""
6 ""交通运输、仓储和邮政业""
7 ""信息传播、计算机服务和软件业""
8 ""批发和零售业""
9 ""住宿和餐饮业""
10 ""金融业""
11 ""房地产业""
12 ""租赁和商务服务业""
13 ""科学研究、技术服务和地质勘查业""
14 ""水利、环境和公共设施管理业""
15 ""居民服务和其他服务业""
16 ""教育""
17 ""卫生、社会保障和社会福利业""
18 ""文化、体育和娱乐业""
19 ""公共管理和社会组织""
20 ""国际组织""
21 ""其他行业""","1 ""Agriculture, forestry, fishing and hunting""
2 ""Mining"" 
3 ""Manufacture"" 
4 ""Production and supply of electricity, gas, and water""
5 ""Construction"" 
6 ""Transportation, storage, and postal service""
7 ""Information transmission, computers, and software industry""
8 ""Wholesale and retail""
9 ""Hotel and catering"" 
10 ""Finance"" 
11 ""Real estate"" 
12 ""Rental and commercial service""
13 ""Scientific research, technology services and geological survey""
14 ""Water resource, environment and public facility management""
15 ""Residential and other service industry"" 
16 ""Education""
17 ""Health, social security, and social welfare""
18 ""Culture, sports, and entertainment""
19 ""Public administration and social organization"" 
20 ""International Organization""
21 ""other industries"" ",
orgtype,当前职业所在机构类型,Current Occupation Organization Type,"1 ""政府部门/党政机关/人民团体""
2 ""事业单位""
3 ""国有企业""
4 ""私营企业/个体工商户/其他类型企业""
5 ""外商/港澳台商企业""
6 ""个人/家庭""
7 ""民办非企业组织/协会/行会/基金会/村居委会""","1 ""Government/Party/People's organization/Military"" 
2 ""State-owned/Collectively-owned public institution/Research institute"" 
3 ""State-owned/State-controlled enterprise"" 
4 ""Private enterprise/Individually owned business (getihu)/Enterprise of Other Types""
5 ""Enterprise invested in by Foreign Hong Kong/Macao/Taiwan Capital""
6 ""Family business"" 
7 ""Private non-profit organization; Association /Guild/Foundation/Social organization; Residential community committee/Village committee/Autonomous organization"" ",
occtype_isco_1st,初职（ISCO88）,First Occupation Type (ISCO88),,,
promote_e,去年是否获得行政职务晋升,Got Promoted Last Year (Excutive Position),"0 ""否"" 1 ""是""","0 ""No"" 1 ""Yes""",
promote_t,去年是否获得技术职称晋升,Got Promoted Last Year (Technical Position),,,
mngpos,行政管理职务,Administration / Management Position (?),"0 ""无行政/管理职务""
1 ""基层行政/管理职务""
2 ""中层行政/管理职务""
3 ""高层行政/管理职务""
4 ""顶层行政/管理职务""
5 ""有行政/管理职务"" （W2016）","0 ""No Administration / Management Position""
1 ""Primary Administration / Management Position""
2 ""Middle Administration / Management Position""
3 ""Senior Administration / Management Position""
4 ""Top Administration / Management Position"" ?
5 ""Has Administration / Management Position"" （W2016）",
subnum,负责管理人数,Number of Subordinates,,,
wksat_inc,对目前工作收入的满意度,Satisfaction for Current Occupation's Income,"1 ""非常不满意""
2 ""不太满意""
3 ""一般""
4 ""比较满意""
5 ""非常满意"""," 1 ""Very Unsatisfied"" 
 2 ""Unsatisfied""
 3 ""Fair"" 
 4 ""Satisfied"" 
 5 ""Very Satisfied""",
wksat_safe,对目前工作安全性的满意度,Satisfaction for Current Occupation's Safety ,,,
wksat_env,对目前工作环境的满意度,Satisfaction for Current Occupation's Working Environment,,,
wksat_wkh,对目前工作时间的满意度,Satisfaction for Current Occupation's Working Hours,,,
wksat_prom ,对目前工作晋升机会的满意度,Satisfaction for Current Occupation's Chance of Promotion,,,
wksat_all,对目前工作的总体满意度,Overall Satisfaction for Current Occupation,,,
tenure,当前职业工龄,Tenure of Current Occupation,,,
